Ticker,Sector,Latest_Headline,Forecast_Score,Forecast_Direction,Actual_Direction,Actual_Return_Pct,Streak_Days,Streak_Return,Momentum,Date,News_Source,News_Time,Headline_Count,Severity,Impact,Signal_Quality,News_URL,Technical_Score,Tech_Signals,Fundamental_Score,Fund_Concern,Macro_Score,Macro_Context,Composite_Score,Composite_Direction,Composite_Severity,BT_Swing,BT_1M,BT_3M,BT_6M,BT_1M_N,BT_Total_Preds,BT_Forward_Days,BT_Threshold,BT_Category,Est_Horizon,BT_ATR_Pct,BT_SL_Level,TR_total_trades,TR_wins,TR_losses,TR_win_rate,TR_avg_win_pct,TR_avg_loss_pct,TR_profit_factor,TR_total_return_pct,TR_avg_holding_days,TR_long_trades,TR_short_trades,TR_long_win_rate,TR_short_win_rate,TR_stop_loss_exits,TR_signal_flip_exits,Tech_Score,News_Score,Fund_Score,Direction_Label,Horizon,Category,Hit,BT_Accuracy,BT_PF,BT_Trades,BT_Signal_Rate,N_Catalysts,News_Direction,Corrected,BT_Avg_SL,Momentum_Direction
BLUESTARCO,,,,,,4.58,,,,2026-06-17,,,,,,,,,,,,5.8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
BRITANNIA,,,,,,0.28,,,,2026-06-17,,,,,,,,,,,,-1.4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
CAPLIPOINT,,,,,,-1.8,,,,2026-06-17,,,,,,,,,,,,1.3,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,NEUTRAL,,MID,,,,,,,,,,0.0
CEMPRO,,,,,,1.88,,,,2026-06-17,,,,,,,,,,,,5.8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
DOMS,,,,,,0.43,,,,2026-06-17,,,,,,,,,,,,5.8,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,NEUTRAL,,MID,,,,,,,,,,0.0
DIXON,,,,,,4.89,,,,2026-06-17,,,,,,,,,,,,3.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
ELGIEQUIP,,,,,,-0.2,,,,2026-06-17,,,,,,,,,,,,5.8,,-24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,0.0,5.0,NEGATIVE,,MID,,,,,,,,,,-1.0
ENDURANCE,,,,,,-1.19,,,,2026-06-17,,,,,,,,,,,,4.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
GABRIEL,,,,,,-1.16,,,,2026-06-17,,,,,,,,,,,,4.0,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,NEUTRAL,,MID,,,,,,,,,,0.0
MEDANTA,,,,,,1.48,,,,2026-06-17,,,,,,,,,,,,1.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
